WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
13963,20170101,53,12,OVC006, ,5, ,BR, ,46, ,7.8, ,46, ,7.7, ,46, ,7.8, ,100, ,6, ,20, , , ,29.66, , , , , ,29.95, ,AA, ,  T, ,29.94, 
13963,20170101,153,12,OVC006, ,6, ,BR, ,45, ,7.2, ,45, ,7.2, ,45, ,7.2, ,100, ,7, ,30, , , ,29.67, , , , , ,29.96, ,AA, , , ,29.95, 
13963,20170101,253,12,OVC005, ,6, ,BR, ,45, ,7.2, ,45, ,7.2, ,45, ,7.2, ,100, ,3, ,30, , , ,29.68, , , , , ,29.97, ,AA, , , ,29.96, 
13963,20170101,353,12,OVC005, ,6, ,BR, ,44, ,6.7, ,44, ,6.6, ,44, ,6.7, ,100, ,6, ,30, , , ,29.68, , , , , ,29.97, ,AA, , , ,29.96, 
13963,20170101,453,12,OVC004, ,3, ,#NAME?, ,43, ,6.1, ,43, ,6.1, ,43, ,6.1, ,100, ,9, ,60, , , ,29.69, , , , , ,29.98, ,AA, ,  T, ,29.97, 
13963,20170101,553,12,OVC003, ,2.5, ,#NAME?, ,43, ,6.1, ,43, ,6.1, ,43, ,6.1, ,100, ,5, ,30, , , ,29.7, , , , , ,29.99, ,AA, ,  T, ,29.98, 
13963,20170101,616,12,OVC003, ,2, ,#NAME?, ,43, ,6.1, ,43, ,6.1, ,43, ,6.1, ,100, ,5, ,40, , , ,29.7, , , , , ,M, ,SP, , , ,29.98, 
13963,20170101,639,12,OVC004, ,2, ,#NAME?, ,43, ,6.1, ,43, ,6.1, ,43, ,6.1, ,100, ,3, ,30, , , ,29.71, , , , , ,M, ,SP, , , ,29.99, 
13963,20170101,653,12,OVC004, ,2, ,#NAME?, ,43, ,6.1, ,43, ,6.1, ,43, ,6.1, ,100, ,5, ,20, , , ,29.71, , , , , ,30, ,AA, ,  T, ,29.99, 
13963,20170101,707,12,CLR, ,0.75, , , ,43, ,6.1, ,M, ,M, ,43, ,6.1, ,M, ,5, ,40, , , ,M, , , , , ,M, ,SP, , , ,30, 
13963,20170101,717,12,CLR, ,0.5, , , ,43, ,6.1, ,M, ,M, ,43, ,6.1, ,M, ,5, ,20, , , ,M, , , , , ,M, ,SP, , , ,30, 
13963,20170101,727,12,CLR002, ,0.25, , , ,43, ,6.1, ,M, ,M, ,43, ,6.1, ,M, ,6, ,20, , , ,M, , , , , ,M, ,SP, , , ,30.01, 
13963,20170101,751,12,M, ,0.5, , , ,M, ,M, ,M, ,M, ,M, ,M, ,M, ,5, ,40, , , ,M, , , , , ,M, ,SP, , , ,M, 
13963,20170101,753,12,CLR002, ,0.5, , , ,43, ,6.1, ,M, ,M, ,43, ,6.1, ,M, ,5, ,40, , , ,M, , , , , ,30.03, ,AA, ,  T, ,30.02, 
13963,20170101,809,12,CLR002, ,0.25, , , ,43, ,6.1, ,M, ,M, ,43, ,6.1, ,M, ,7, ,50, , , ,M, , , , , ,M, ,SP, , , ,30.02, 
13963,20170101,839,12,CLR, ,1, , , ,43, ,6.1, ,M, ,M, ,43, ,6.1, ,M, ,9, ,30, , , ,M, , , , , ,M, ,SP, , , ,30.01, 
13963,20170101,851,12,M, ,0.75, , , ,M, ,M, ,M, ,M, ,M, ,M, ,M, ,6, ,30, , , ,M, , , , , ,M, ,SP, , , ,M, 
13963,20170101,853,12,CLR002, ,0.75, , , ,43, ,6.1, ,M, ,M, ,43, ,6.1, ,M, ,8, ,30, , , ,M, , , , , ,30.02, ,AA, ,  T, ,30.01, 
13963,20170101,906,12,OVC003, ,1, ,BR, ,43, ,6.1, ,43, ,6.1, ,43, ,6.1, ,100, ,7, ,40, , , ,29.73, , , , , ,M, ,SP, , , ,30.01, 
13963,20170101,942,12,OVC003, ,2.5, ,BR, ,44, ,6.7, ,44, ,6.6, ,44, ,6.7, ,100, ,7, ,50, , , ,29.75, , , , , ,M, ,SP, , , ,30.03, 
13963,20170101,953,12,OVC004, ,2.5, ,BR, ,44, ,6.7, ,44, ,6.6, ,44, ,6.7, ,100, ,9, ,70, , , ,29.76, , , , , ,30.04, ,AA, , , ,30.04, 
13963,20170101,1053,12,OVC004, ,2.5, ,BR, ,44, ,6.7, ,44, ,6.6, ,44, ,6.7, ,100, ,7, ,50, , , ,29.74, , , , , ,30.03, ,AA, , , ,30.02, 
13963,20170101,1115,12,OVC004, ,4, ,BR, ,45, ,7.2, ,45, ,7.2, ,45, ,7.2, ,100, ,6, ,50, , , ,29.74, , , , , ,M, ,SP, , , ,30.02, 
13963,20170101,1153,12,OVC004, ,5, ,BR, ,45, ,7.2, ,45, ,7.2, ,45, ,7.2, ,100, ,5, ,60, , , ,29.74, , , , , ,30.03, ,AA, , , ,30.02, 
13963,20170101,1237,12,OVC004, ,2.5, ,BR, ,45, ,7.2, ,45, ,7.2, ,45, ,7.2, ,100, ,5, ,50, , , ,29.73, , , , , ,M, ,SP, , , ,30.01, 
13963,20170101,1253,12,OVC004, ,2.5, ,BR, ,45, ,7.2, ,45, ,7.2, ,45, ,7.2, ,100, ,5, ,VR , , , ,29.72, , , , , ,30.01, ,AA, , , ,30, 
13963,20170101,1353,12,OVC004, ,2.5, ,BR, ,45, ,7.2, ,45, ,7.2, ,45, ,7.2, ,100, ,6, ,80, , , ,29.69, , , , , ,29.98, ,AA, , , ,29.97, 
13963,20170101,1453,12,OVC004, ,2.5, ,BR, ,46, ,7.8, ,46, ,7.7, ,46, ,7.8, ,100, ,9, ,100, , , ,29.67, , , , , ,29.96, ,AA, , , ,29.95, 
13963,20170101,1553,12,OVC004, ,2.5, ,BR, ,46, ,7.8, ,46, ,7.7, ,46, ,7.8, ,100, ,7, ,70, , , ,29.69, , , , , ,29.98, ,AA, , , ,29.97, 
13963,20170101,1640,12,OVC005, ,2.5, ,BR, ,46, ,7.8, ,46, ,7.7, ,46, ,7.8, ,100, ,10, ,80, , , ,29.69, , , , , ,M, ,SP, , , ,29.97, 
13963,20170101,1653,12,OVC005, ,2.5, ,BR, ,46, ,7.8, ,46, ,7.7, ,46, ,7.8, ,100, ,10, ,70, , , ,29.69, , , , , ,29.98, ,AA, , , ,29.97, 
13963,20170101,1741,12,OVC005, ,4, ,BR, ,46, ,7.8, ,46, ,7.7, ,46, ,7.8, ,100, ,8, ,80, , , ,29.7, , , , , ,M, ,SP, , , ,29.98, 
13963,20170101,1753,12,OVC005, ,4, ,BR, ,46, ,7.8, ,46, ,7.7, ,46, ,7.8, ,100, ,8, ,90, , , ,29.7, , , , , ,29.99, ,AA, , , ,29.98, 
13963,20170101,1853,12,OVC005, ,5, ,BR, ,46, ,7.8, ,46, ,7.7, ,46, ,7.8, ,100, ,11, ,70, , , ,29.7, , , , , ,29.99, ,AA, , , ,29.98, 
13963,20170101,1953,12,OVC005, ,5, ,BR, ,45, ,7.2, ,45, ,7.2, ,45, ,7.2, ,100, ,9, ,70, , , ,29.71, , , , , ,30, ,AA, , , ,29.99, 
13963,20170101,2005,12,OVC004, ,4, ,BR, ,45, ,7.2, ,45, ,7.2, ,45, ,7.2, ,100, ,9, ,80, , , ,29.71, , , , , ,M, ,SP, , , ,29.99, 
13963,20170101,2034,12,OVC004, ,2, ,#NAME?, ,45, ,7.2, ,45, ,7.2, ,45, ,7.2, ,100, ,15, ,100, , , ,29.69, , , , , ,M, ,SP, , , ,29.97, 
13963,20170101,2053,12,OVC004, ,2, ,BR, ,45, ,7.2, ,45, ,7.2, ,45, ,7.2, ,100, ,9, ,90, , , ,29.7, , , , , ,29.99, ,AA, ,  T, ,29.98, 
13963,20170101,2153,12,OVC004, ,1.5, ,#NAME?, ,45, ,7.2, ,45, ,7.2, ,45, ,7.2, ,100, ,9, ,50, , , ,29.71, , , , , ,30, ,AA, ,  T, ,29.99, 
13963,20170101,2253,12,OVC004, ,1.25, ,BR, ,45, ,7.2, ,45, ,7.2, ,45, ,7.2, ,100, ,6, ,50, , , ,29.72, , , , , ,30.01, ,AA, ,0.01, ,30, 
13963,20170101,2353,12,OVC003, ,1.25, ,BR, ,45, ,7.2, ,45, ,7.2, ,45, ,7.2, ,100, ,3, ,40, , , ,29.71, , , , , ,30, ,AA, , , ,29.99, 
13963,20170102,53,12,OVC003, ,1.25, ,#NAME?, ,45, ,7.2, ,45, ,7.2, ,45, ,7.2, ,100, ,5, ,30, , , ,29.7, , , , , ,29.98, ,AA, ,  T, ,29.98, 
13963,20170102,153,12,OVC003, ,1.25, ,#NAME?, ,45, ,7.2, ,45, ,7.2, ,45, ,7.2, ,100, ,5, ,50, , , ,29.69, , , , , ,29.98, ,AA, ,0.01, ,29.97, 
13963,20170102,253,12,CLR, ,1, , , ,45, ,7.2, ,M, ,M, ,45, ,7.2, ,M, ,5, ,60, , , ,M, , , , , ,29.97, ,AA, ,  T, ,29.96, 
13963,20170102,303,12,CLR002, ,0.5, , , ,45, ,7.2, ,M, ,M, ,45, ,7.2, ,M, ,5, ,60, , , ,M, , , , , ,M, ,SP, , , ,29.96, 
